bulan,banyak_pengunjung,turis
2015-09-01,19880,Mancanegara
2016-09-01,21566,Mancanegara
2017-09-01,24292,Mancanegara
2018-09-01,20943,Mancanegara
2019-09-01,27163,Mancanegara
2020-09-01,19,Mancanegara
2021-09-01,9,Mancanegara
2022-09-01,9853,Mancanegara
2008-10-01,10830,Mancanegara
2009-10-01,12609,Mancanegara
2010-10-01,15278,Mancanegara
2011-10-01,15273,Mancanegara
2012-10-01,16326,Mancanegara
2013-10-01,19743,Mancanegara
2014-10-01,22864,Mancanegara
2015-10-01,11796,Mancanegara
2016-10-01,19371,Mancanegara
2017-10-01,20506,Mancanegara
2018-10-01,14280,Mancanegara
2019-10-01,21290,Mancanegara
2020-10-01,38,Mancanegara
2021-10-01,93,Mancanegara
2022-10-01,7688,Mancanegara
2008-11-01,9465,Mancanegara
2009-11-01,9327,Mancanegara
2010-11-01,2549,Mancanegara
2011-11-01,81845,Mancanegara
2012-11-01,13307,Mancanegara
2013-11-01,17266,Mancanegara
2014-11-01,17705,Mancanegara
2015-11-01,12413,Mancanegara
2016-11-01,13058,Mancanegara
2017-11-01,13982,Mancanegara
2018-11-01,10811,Mancanegara
2019-11-01,14665,Mancanegara
2020-11-01,26,Mancanegara
2021-11-01,106,Mancanegara
2022-11-01,4941,Mancanegara
2008-12-01,8567,Mancanegara
2009-12-01,9049,Mancanegara
2010-12-01,5924,Mancanegara
2011-12-01,11027,Mancanegara
2012-12-01,12972,Mancanegara
2013-12-01,17878,Mancanegara
2014-12-01,18497,Mancanegara
2015-12-01,12112,Mancanegara
2016-12-01,13874,Mancanegara
2017-12-01,15136,Mancanegara
2018-12-01,10598,Mancanegara
2019-12-01,10747,Mancanegara
2020-12-01,76,Mancanegara
2021-12-01,155,Mancanegara
2022-12-01,6941,Mancanegara
