all,all_genus,mam,mam_genus,amph,amph_genus,rep,rep_genus,tree_height,tree_density,elevation,temp,precip,country,island,BGR,vert_all,mam_all,amp_all,rep_all,x,y
0,0,0,0,0,0,0,0,30.09476,54267.86,956.707,5.982319,178.4491,New Zealand,South Island,0,2,1,0,1,172.5094,-42.21337749
0,0,0,0,0,0,0,0,30.86762,80748.54,984.2642,8.144495,231.4806,New Zealand,South Island,0,6,1,0,5,172.1094,-41.72337749
0,0,0,0,0,0,0,0,25.28752,41654.17,1573.904,6.318839,282.649,New Zealand,South Island,0,4,2,0,2,170.9194,-43.06337749
0,0,0,0,0,0,0,0,25.89749,76646.16,381.619,10.77678,107.0012,New Zealand,South Island,0,5,0,0,5,173.5594,-41.49337749
0,0,0,0,0,0,0,0,25.98439,33394.35,1273.626,6.927321,208.0526,New Zealand,South Island,0,2,1,0,1,172.1094,-42.56337749
0,0,0,0,0,0,0,0,31.17001,55719.94,890.9579,8.385658,143.663,New Zealand,South Island,0,4,1,0,3,172.7594,-41.80337749
0,0,0,0,0,0,0,0,26.59451,69115.02,970.5866,9.446392,238.7495,New Zealand,South Island,0,5,1,0,4,172.4194,-40.89337749
0,0,0,0,0,0,0,0,23.78606,76992.29,127.8162,12.30009,165.8294,New Zealand,South Island,0,6,2,0,4,172.1294,-41.36337749
0,0,0,0,0,0,0,0,0.2799267,12510.03,1312.879,5.885869,179.7843,New Zealand,South Island,0,2,1,0,1,172.5894,-42.05337749
0,0,0,0,0,0,0,0,29.46959,22436.56,1347.857,6.584241,320.0296,New Zealand,South Island,0,2,0,0,2,171.3994,-42.81337749
0,0,0,0,0,0,0,0,29.43201,63816.93,1070.626,7.796726,228.9717,New Zealand,South Island,0,6,1,0,5,172.2894,-41.38337749
0,0,0,0,0,0,0,0,29.54505,59674.32,491.5976,9.226629,230.1504,New Zealand,South Island,0,5,1,0,4,172.4594,-40.95337749
0,0,0,0,0,0,0,0,28.7751,31587.9,1426.267,5.971013,195.4986,New Zealand,South Island,0,4,1,0,3,172.3494,-42.28337749
0,0,0,0,0,0,0,0,30.84236,73316.01,486.1182,9.265485,200.3162,New Zealand,South Island,0,5,1,0,4,172.1494,-41.94337749
0,0,0,0,0,0,0,0,27.99056,78662.83,533.6935,9.15713,314.0707,New Zealand,South Island,0,1,0,0,1,171.6794,-42.62337749
0,0,0,0,0,0,0,0,0.7668878,689.9263,1604.341,5.927898,296.2915,New Zealand,South Island,0,2,0,0,2,171.3794,-42.90337749
0,0,0,0,0,0,0,0,31.96609,79872.81,1182.778,7.95332,202.0756,New Zealand,South Island,0,4,1,0,3,172.3894,-41.63337749
0,0,0,0,0,0,0,0,23.45728,4410.086,1259.74,6.042048,267.5461,New Zealand,South Island,0,3,1,0,2,171.0994,-43.07337749
0,0,0,0,0,0,0,0,19.53391,52288.96,1373.544,5.603016,161.5293,New Zealand,South Island,0,3,0,0,3,172.8694,-41.90337749
0,0,0,0,0,0,0,0,4.944262,71694.7,1002.881,6.654272,135.0145,New Zealand,South Island,0,3,0,0,3,172.8794,-42.00337749
0,0,0,0,0,0,0,0,30.77422,26076.02,1190.625,6.235694,204.8595,New Zealand,South Island,0,4,1,0,3,172.1894,-42.48337749
0,0,0,0,0,0,0,0,28.12222,78463.23,554.5198,9.262452,160.9501,New Zealand,South Island,0,7,1,0,6,172.6594,-41.58337749
0,0,0,0,0,0,0,0,34.64589,85106.95,339.351,10.13033,287.114,New Zealand,South Island,0,0,0,0,3,171.4694,-42.25337749
0,0,0,0,0,0,0,0,29.92945,74850.04,478.458,10.92721,207.1645,New Zealand,South Island,0,1,1,0,0,172.1594,-41.15337749
0,0,0,0,0,0,0,0,9.358693,27423.12,1098.495,5.797043,266.2792,New Zealand,South Island,0,2,0,0,2,171.6894,-42.87337749
0,0,0,0,0,0,0,0,31.70222,59872.78,1163.579,6.20859,171.3953,New Zealand,South Island,0,3,0,0,3,172.1794,-42.89337749
0,0,0,0,0,0,0,0,29.8793,92260.94,325.9294,9.525393,325.3714,New Zealand,South Island,0,1,1,0,0,170.2694,-43.34337749
0,0,0,0,0,0,0,0,28.61279,85981.76,707.6459,9.772392,233.1346,New Zealand,South Island,0,7,2,0,5,172.4794,-40.90337749
0,0,0,0,0,0,0,0,30.22124,58528.38,739.3773,9.998505,206.4601,New Zealand,South Island,0,7,2,0,5,172.7294,-40.93337749
0,0,0,0,0,0,0,0,30.93941,84236.8,858.3517,6.990517,150.2421,New Zealand,South Island,0,3,0,0,3,172.8194,-41.85337749
0,0,0,0,0,0,0,0,28.71491,73722.86,497.3575,9.9724,207.9308,New Zealand,South Island,0,6,2,0,4,172.1194,-41.49337749
0,0,0,0,0,0,0,0,27.60247,78358.27,1184.565,7.21928,242.9932,New Zealand,South Island,0,7,2,0,5,172.6294,-40.89337749
0,0,0,0,0,0,0,0,27.9546,72762.95,819.4095,8.074364,177.3805,New Zealand,South Island,0,4,1,0,3,172.3694,-42.09337749
0,0,0,0,0,0,0,0,25.00963,61113.67,633.326,9.635442,201.5025,New Zealand,South Island,0,7,2,0,5,172.7194,-40.99337749
0,0,0,0,0,0,0,0,29.99373,57329.15,1257.021,6.747083,286.4383,New Zealand,South Island,0,3,2,0,1,171.0894,-42.98337749
0,0,0,0,0,0,0,0,31.70131,67455.73,1089.128,7.277709,161.6729,New Zealand,South Island,0,4,1,0,3,172.2794,-42.60337749
0,0,0,0,0,0,0,0,31.72725,75815.05,627.9273,8.046803,161.2674,New Zealand,South Island,0,2,1,0,1,172.4994,-42.07337749
0,0,0,0,0,0,0,0,28.83304,60560.83,443.5463,8.794434,232.2964,New Zealand,South Island,0,6,1,0,5,172.2794,-41.13337749
0,0,0,0,0,0,0,0,28.58676,85776.98,1290.359,7.567743,165.0299,New Zealand,South Island,0,2,1,0,1,172.5294,-42.08337749
0,0,0,0,0,0,0,0,31.82169,93226.44,522.4343,8.057409,309.6609,New Zealand,South Island,0,3,2,0,1,171.2594,-42.89337749
0,0,0,0,0,0,0,0,32.36189,75436.27,992.8357,7.856415,149.5806,New Zealand,South Island,0,4,1,0,3,172.7294,-41.83337749
0,0,0,0,0,0,0,0,28.83681,84962.23,244.2771,10.2597,277.5068,New Zealand,South Island,0,4,2,0,2,170.8494,-43.01337749
0,0,0,0,0,0,0,0,30.29529,82185.48,337.4535,11.31266,237.805,New Zealand,South Island,0,0,0,0,5,172.5794,-40.65337749
0,0,0,0,0,0,0,0,28.06883,63141.32,1033.816,7.886702,175.4875,New Zealand,South Island,0,4,1,0,3,172.6094,-41.64337749
0,0,0,0,0,0,0,0,24.30886,771.6131,1833.701,5.296575,271.0433,New Zealand,South Island,0,2,0,0,2,171.6594,-42.87337749
0,0,0,0,0,0,0,0,25.27882,13861.68,1288.734,5.704152,233.8112,New Zealand,South Island,0,4,0,0,4,171.6294,-43.06337749
0,0,0,0,0,0,0,0,28.02652,80409.2,746.9061,8.143633,212.8529,New Zealand,South Island,0,4,1,0,3,172.2894,-41.60337749
0,0,0,0,0,0,0,0,27.25286,90766.9,555.2725,9.201562,322.598,New Zealand,South Island,0,3,2,0,1,171.1994,-42.85337749
0,0,0,0,0,0,0,0,26.01801,75549.54,787.0434,7.78214,218.1335,New Zealand,South Island,0,7,2,0,5,172.6594,-41.03337749
0,0,0,0,0,0,0,0,31.33237,71859.25,1272.683,7.246658,218.8711,New Zealand,South Island,0,6,2,0,4,172.1294,-42.28337749
